PARTNUMBER,DESCRIPTIONEN,DESCRIPTIONVI,HTS CODE
10154002,SCREW  X WN WZ POZI,?C VÍT,7318150000
019260044,BAG ANTI-STATIC SHPG SP,TÚI ?ÓNG GÓI,3923909000
019260049,"BAG POLY ""X'",TÚI ?ÓNG GÓI,3923909000
019260051,"ENVELOPE ANTI-STAT "" X """,TÚI ?ÓNG GÓI,3923909000
019260072,BOX -/ X -/ X -/  PACK QSD,H?P ?ÓNG GÓI (CARTON),4819100000
019260073,BOX -/ X -/ X -/  PACK QSD,H?P ?ÓNG GÓI (CARTON),4819100000
000001222,CONN STP HDR P T HOLE RT ANG ROHS,??U N?I,8536693900
010001135,RESTRCT NUT HEX MX STEEL ZN PL CR,?AI ?C,#N/A
010001142,"RIVET SNAP "" OD "" LONG BLACK",RI-VÊ,7318290000
010001110,SCREW PT KXMM T TORX PH SS,?C VÍT,7318150000
018140003,SCR PT KX PAN TORX ZN ROHS,?C VÍT,7318150000
018140004,SCR TORX PN HD KX ZN BLK PL ROHS,?C VÍT,7318150000
018140005,SCR KX TORX PAN HD PT  SCREW ZC ROHS,?C VÍT,7318150000
018140007,SCR TORX PN HD KX ZN BLACK PL ROHS,?C VÍT,7318150000
010001111,SCREW PT KXMM T TORX PH CS CLR,?C VÍT,7318150000
010001065,SCR PT KX PAN TORX CARBON STEEL,?C VÍT,7318150000
010001075,SCR RSTCT PT KXMM FTHD T TX CS CRZC,?C VÍT,7318150000
010001025,SCR KX  PHILLIPS PAN HD T-PT,?C VÍT,7318150000
010001118,SCREW TORX PN HD KX CLEAR ZINC,?C VÍT,7318150000
298031090,X- GOOD READING LENS,TH?U KÍNH,9002119000
3-0734-01,PCBA FLEX CBL HDL TO MAIN BD PS BT,B?NG M?CH IN ?I?N T?,8473301000
3-0964-04,PCBA MAIN BD SO TSTD MGL ,B?NG M?CH IN ?I?N T?,8473301000
3-0964-06,PCBA MAIN BD SS N/D MORISON TSTD MG ,B?NG M?CH IN ?I?N T?,8473301000
3-0965-02,PCBA COLL BD FRONT TSTD MGL /,B?NG M?CH IN ?I?N T?,8473301000
3-0965-04,PCBA COLL BD TSTD BACK MGL /,B?NG M?CH IN ?I?N T?,8473301000
3-0966-02,PCBA CNTRL PANEL TSTD MGL /,B?NG M?CH IN ?I?N T?,8473301000
3-0969-02,PCBA HH ANTENNA TSTD PSBT,B?NG M?CH IN ?I?N T?,8473301000
3-0984-02,PCBA LASER POINTER/GRN SPOT TSTD PS,B?NG M?CH IN ?I?N T?,8473301000
3-0993-02,PCBA CNTRL PNL GRN/RED TSTD MGL/,B?NG M?CH IN ?I?N T?,8473301000
3-0998-06,PCBA MAIN I/F V TSTD QSD,B?NG M?CH IN ?I?N T?,8473301000
3-0998-08,PCBA TSTD I/F -V TSTD QUICKSCAN D,B?NG M?CH IN ?I?N T?,8473301000
3-0998-12,PCBA MAIN I/F -V TSTD QUICKSCAN D,B?NG M?CH IN ?I?N T?,8473301000
3-0999-06,PCBA MAIN ()USB/WDG/WD/RS TSTD PS,B?NG M?CH IN ?I?N T?,8473301000
3-0999-08,PCBA MAIN ()IBM/USB/RS TSTD PS,B?NG M?CH IN ?I?N T?,8473301000
3-1000-02,PCBA CONTROL PANEL TSTD MGL,B?NG M?CH IN ?I?N T?,8473301000
3-1007-02,PCBA MAIN BD SS RED/GRN LED TSTD /,B?NG M?CH IN ?I?N T?,8473301000
3-1007-04,PCBA MAIN BD SO RED/GRN LED TSTD /,B?NG M?CH IN ?I?N T?,8473301000
3-1017-02,PCBA ILLUMINATION TSTD PWRSCN ,B?NG M?CH IN ?I?N T?,8473301000
3-1019-02,PCBA LED/BEEPER TSTD PS,B?NG M?CH IN ?I?N T?,8473301000
3-1020-02,PCBA RJ TSTD POWERSCAN ,B?NG M?CH IN ?I?N T?,8473301000
3-1021-14,PCBA MAIN BD ADAPT SCALE TSTD MGL/,B?NG M?CH IN ?I?N T?,8473301000
3-1021-18,PCBA MAIN BD WN ADAPT SCALE TSTD M/,B?NG M?CH IN ?I?N T?,8473301000
3-1022-02,PCBA MAIN/RADIO WDG/WA/USB/RS BASE TSTD,B?NG M?CH IN ?I?N T?,8473301000
3-1022-04,PCBA MAIN/RADIO RS/USB/IBM BASE TSTD,B?NG M?CH IN ?I?N T?,8473301000
3-1027-02,PCBA HANDLE/RADIO RN- TSTD PBT,B?NG M?CH IN ?I?N T?,8473301000
3-1031-08,PCBA V MAIN HH TSTD () PBT,B?NG M?CH IN ?I?N T?,8473301000
ZC0500009,ADH LOCTITE  UV BONDING,KEO,3506100000
ZC0500012,ADHESIVE SEALENT GLASS/METAL,KEO,3506100000
